V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Logo,Intro,Name_1_TEXT,Name_2_TEXT,Name_3_TEXT,Name_4_TEXT,Grade,Grade_TEXT,Q1,intro Q2,picture,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q33,LocationLatitude,LocationLongitude,LocationAccuracy
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,Mainepsplogo,MainePSP: SEPUP Pre-Test /  /   /  /  This test asks questions about the science topics you /  will be lear...,Please provide the following information:-First Name,Please provide the following information:-Last Name,Please provide the following information:-Teacher Name,Please provide the following information:-School,Grade,Grade-TEXT,"1. By examining fossils, scientists think that:ξ",2. Below is a diagram of Earth's interior.,Screen shot 2014 09 03 at 12.26.07 pm,"In the picture above, what is layer 2?",3. Below is a diagram of a soil profile.,"4. If mountains erode over long periods of time, what can /  happen?ξ",5. Carlos has a metamorphic rock in his rock collection. Where /  did the rock most likely form?ξ,6. What is true about evaporation of / water?ξ,7. Which is always true about a day when there are strong /  winds?ξ,8. Minerals are in our water supply because:ξ,9. What is true about all soils?ξ,10. The graphs below show the air temperature readings for five /  different days. On which day was...,11. Scientists study fossils to:ξ,12. Scientists think which of the following has affected Earth /  for billions of years?ξ,13. Which of the following is not part of the water cycle?ξ,14. Air contains which of these gases?ξ,15. Which human activity directly adds the most carbon dioxide to /  the atmosphere?ξ,16. Scientists think that the primary cause of mountain building /  is:ξ,17. The graphs below show the highest air temperature reading /  everyday for one year at five diff...,"18. If there were no weathering and erosion, which type of rock /  would be least common?ξ",19. Which of these is a piece of scientific evidence for plate /  tectonics?ξ,"20. If you were flying inside a puffy looking cloud, you would /  see:ξ","21. Calcutta, India, is half way around the Earth east of /  Chicago. If it is noon in Chicago, in...",22. Imagine that the Moon suddenly disappeared. What would happen /  to the tides in Earth���s oceans...,23. How long does it take for Earth to turn once on its /  axis?ξ,24. How long does it take for the Moon to go around the /  Sun?ξ,"25. If you could look down from space at Earth from far above its /  north pole, the Sun and Moon w...",Thank you!,LocationLatitude,LocationLongitude,LocationAccuracy
R_6rJ0H3XeAMR1c3j,Default Response Set,Anonymous,,,65.18.24.134,0,9/9/14 8:41,9/9/14 8:55,1,1,1,1,1,F,G,2,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,45.20239258,-68.59529877,-1
R_6EY3TYYIHnEEO9L,Default Response Set,Anonymous,,,65.18.24.172,0,9/9/14 8:40,9/9/14 8:56,1,1,1,2,2,F,G,2,,1,1,1,0,1,4,1,3,4,1,2,1,2,2,1,2,2,2,1,1,2,2,1,2,1,1,1,,45.20239258,-68.59529877,-1
R_eY7E1EmZLsxhaEB,Default Response Set,Anonymous,,,65.18.24.169,0,9/9/14 8:37,9/9/14 8:56,1,1,1,3,3,F,G,3,,0,1,1,1,4,2,4,3,4,1,2,3,1,2,3,5,3,3,1,2,3,5,4,2,2,4,1,,45.20239258,-68.59529877,-1
R_1FYKros40wRwJ13,Default Response Set,Anonymous,,,65.18.24.139,0,9/9/14 8:56,9/9/14 8:59,1,1,1,4,4,F,G,2,,0,1,1,1,2,4,5,3,4,5,3,1,4,5,3,5,5,3,5,2,1,2,4,1,1,5,2,,45.20239258,-68.59529877,-1
R_8ik5DjEJ0J9Z8Q5,Default Response Set,Anonymous,,,169.244.117.128,0,9/9/14 8:41,9/9/14 9:02,1,1,1,5,5,F,G,2,,1,1,1,0,2,1,1,5,2,1,5,5,1,3,1,2,1,2,4,3,3,5,1,2,2,1,2,,45.00280762,-68.63339996,-1
R_ah0rXf49mMaXOQt,Default Response Set,Anonymous,,,65.18.24.251,0,9/9/14 8:41,9/9/14 9:03,1,1,1,6,6,F,G,2,,0,1,1,0,2,2,4,1,2,1,3,3,4,2,3,2,2,3,1,1,3,2,4,1,2,1,4,,45.20239258,-68.59529877,-1
R_02ozW8T8yLIXsyh,Default Response Set,Anonymous,,,65.18.24.190,0,9/9/14 8:41,9/9/14 9:04,1,1,1,7,7,F,G,2,,1,1,1,1,2,5,1,3,5,4,2,1,4,4,5,2,4,5,4,4,1,2,4,5,4,1,4,,45.20239258,-68.59529877,-1
R_1OlaXjsTZCCfmVT,Default Response Set,Anonymous,,,65.18.24.118,0,9/9/14 8:48,9/9/14 9:04,1,1,1,8,8,F,G,2,,1,1,1,0,1,2,1,3,2,1,2,1,2,4,3,2,5,2,3,1,1,2,2,5,4,5,2,,45.20239258,-68.59529877,-1
R_9MJ1QsArPfVkC5D,Default Response Set,Anonymous,,,65.18.24.70,0,9/9/14 8:41,9/9/14 9:06,1,1,1,9,9,F,G,2,,0,1,1,0,2,2,1,4,4,4,2,5,2,4,3,3,1,2,1,1,1,5,5,5,1,4,4,,45.20239258,-68.59529877,-1
R_2nlHEKsOgyLaZRr,Default Response Set,Anonymous,,,65.18.24.69,0,9/9/14 12:09,9/9/14 12:19,1,1,1,10,10,F,G,2,,0,1,1,0,2,1,4,3,4,4,3,1,2,3,3,2,3,4,2,4,3,2,4,5,4,4,2,,45.20239258,-68.59529877,-1
R_dpAze5GcRBcnZ2J,Default Response Set,Anonymous,,,65.18.24.248,0,9/9/14 12:11,9/9/14 12:24,1,1,1,11,11,F,G,2,,0,1,1,0,2,2,5,2,4,4,2,2,2,3,3,3,4,3,4,1,3,2,1,3,4,5,2,,45.20239258,-68.59529877,-1
R_5mqJr6kJg1VH7Y9,Default Response Set,Anonymous,,,65.18.24.105,0,9/9/14 12:12,9/9/14 12:24,1,1,1,12,12,F,G,2,,0,1,1,0,5,5,5,2,4,1,3,4,2,3,5,2,4,3,2,1,5,5,1,3,2,4,3,,45.20239258,-68.59529877,-1
R_a9j4qs0eYska8jr,Default Response Set,Anonymous,,,169.244.117.128,0,9/9/14 12:12,9/9/14 12:26,1,1,1,13,13,F,G,2,,0,1,1,0,1,5,5,3,4,4,3,2,4,4,3,2,2,2,5,2,1,1,4,5,1,4,3,,45.00280762,-68.63339996,-1
R_8dWv999r8LQ8AJL,Default Response Set,Anonymous,,,65.18.24.186,0,9/9/14 12:11,9/9/14 12:27,1,1,1,14,14,F,G,2,,1,1,1,0,2,1,5,1,1,5,2,1,2,2,1,2,4,2,5,5,1,5,2,5,1,4,4,,45.20239258,-68.59529877,-1
R_1KYMRcwhN6gQgUl,Default Response Set,Anonymous,,,65.18.24.76,0,9/9/14 12:14,9/9/14 12:28,1,1,1,15,15,F,G,2,,0,1,1,1,1,1,2,5,4,4,2,1,2,4,5,2,3,3,2,1,4,2,4,5,1,5,3,,45.20239258,-68.59529877,-1
R_6XWGguljQleekM5,Default Response Set,Anonymous,,,65.18.24.138,0,9/9/14 12:11,9/9/14 12:30,1,1,1,16,16,F,G,2,,0,1,1,0,2,2,5,5,2,1,3,1,4,3,2,2,5,3,3,2,3,4,4,4,1,4,3,,45.20239258,-68.59529877,-1
R_dhQC3WOWuzh7b4F,Default Response Set,Anonymous,,,65.18.24.153,0,9/9/14 12:11,9/9/14 12:30,1,1,1,17,17,F,G,2,,1,1,1,0,2,5,1,4,1,5,5,1,2,4,1,2,4,3,1,5,2,2,4,1,1,4,1,,45.20239258,-68.59529877,-1
R_eRIKneeQwZpsgJf,Default Response Set,Anonymous,,,65.18.24.78,0,9/9/14 12:14,9/9/14 12:32,1,1,1,18,18,F,G,2,,0,1,1,0,1,1,5,3,5,1,2,4,2,3,3,2,4,3,1,2,3,2,4,2,3,3,3,,45.20239258,-68.59529877,-1
R_8w7IiPzAxSWKfqd,Default Response Set,Anonymous,,,65.18.24.156,0,9/9/14 12:11,9/9/14 12:36,1,1,1,19,19,F,G,2,,0,1,1,0,2,5,1,3,4,4,3,1,2,3,5,2,4,3,3,2,3,2,1,3,4,4,2,,45.20239258,-68.59529877,-1
R_8J2i0dlfwnhdS4J,Default Response Set,Anonymous,,,65.18.24.146,0,9/9/14 12:21,9/9/14 12:39,1,1,1,20,20,F,G,2,,0,1,1,0,2,5,1,3,2,1,2,4,2,3,5,2,4,3,2,2,3,2,4,4,4,4,3,,45.20239258,-68.59529877,-1
R_2hjdPurBbvBz8Hz,Default Response Set,Anonymous,,,65.18.24.160,0,9/9/14 12:25,9/9/14 12:46,1,1,1,21,21,F,G,2,,0,1,1,0,4,1,1,5,4,4,3,1,2,4,5,2,2,5,2,2,1,2,2,5,4,4,2,,45.20239258,-68.59529877,-1
R_1HuBJLuaPjhbvvL,Default Response Set,Anonymous,,,65.18.24.148,0,9/9/14 12:23,9/9/14 12:46,1,1,1,22,22,F,G,2,,0,1,1,0,1,2,5,5,4,1,2,1,2,4,3,5,5,2,2,5,1,2,1,3,4,4,2,,45.20239258,-68.59529877,-1
R_3kCK24kUjQ2t6E5,Default Response Set,Anonymous,,,65.18.24.171,0,9/9/14 12:23,9/9/14 12:46,1,1,1,23,23,F,G,2,,0,1,1,0,2,5,1,4,2,3,2,5,4,4,3,4,3,5,2,1,1,2,4,3,1,4,2,,45.20239258,-68.59529877,-1
R_bfqtY0Q4LzAGweh,Default Response Set,Anonymous,,,65.18.24.189,0,9/9/14 12:25,9/9/14 12:46,1,1,1,24,24,F,G,2,,1,1,1,0,2,3,5,4,4,4,4,1,2,4,5,1,4,2,3,2,2,5,4,5,3,4,1,,45.20239258,-68.59529877,-1
R_aWflNaOOjDz9ayp,Default Response Set,Anonymous,,,65.18.24.191,0,9/9/14 12:14,9/9/14 12:47,1,1,1,25,25,F,G,2,,0,1,1,0,2,4,4,3,4,1,2,3,2,4,2,2,4,5,2,5,1,2,5,2,4,4,4,,45.20239258,-68.59529877,-1
R_6PZMadvjwVi8uPP,Default Response Set,Anonymous,,,65.18.24.252,0,9/9/14 12:14,9/9/14 12:48,1,1,1,26,26,F,G,2,,0,1,1,0,2,2,5,5,4,4,3,2,1,2,1,3,4,2,2,2,3,4,4,2,2,4,3,,45.20239258,-68.59529877,-1
R_8k52Y5K887wUsqF,Default Response Set,Anonymous,,,65.18.24.154,0,9/9/14 12:46,9/9/14 13:10,1,1,1,27,27,F,G,2,,0,1,1,1,2,5,1,3,4,4,2,1,2,3,4,2,2,5,2,1,3,2,4,3,1,5,3,,45.20239258,-68.59529877,-1
R_88PpbjvAXUvnosB,Default Response Set,Anonymous,,,65.18.24.72,0,9/9/14 13:26,9/9/14 13:34,1,1,1,28,28,F,G,2,,0,1,1,0,1,5,1,5,4,1,3,1,4,4,4,5,1,5,1,5,1,2,1,5,1,4,1,,45.20239258,-68.59529877,-1
R_bmhYyf7ju5Jd1TD,Default Response Set,Anonymous,,,169.244.117.128,0,9/9/14 13:24,9/9/14 13:35,1,1,1,29,29,F,G,2,,1,1,1,0,2,5,1,3,4,1,2,1,4,4,1,2,1,5,5,5,1,2,4,1,1,1,4,,45.00280762,-68.63339996,-1
R_6hbCXZVjqpVG5gN,Default Response Set,Anonymous,,,65.18.24.81,0,9/9/14 13:24,9/9/14 13:38,1,1,1,30,30,F,G,2,,1,1,1,0,3,1,1,2,4,5,5,1,2,3,1,3,3,2,3,5,2,2,5,2,2,2,3,,45.20239258,-68.59529877,-1
R_5AvG7PsTtt6W7Pv,Default Response Set,Anonymous,,,65.18.24.130,0,9/9/14 13:24,9/9/14 13:39,1,1,1,31,31,F,G,2,,0,1,1,0,2,4,4,4,5,5,2,1,2,4,5,5,2,5,3,1,1,5,4,3,4,1,5,,45.20239258,-68.59529877,-1
R_aWSU4CxuQkSFmyp,Default Response Set,Anonymous,,,65.18.24.101,0,9/9/14 13:28,9/9/14 13:40,1,1,1,32,32,F,G,2,,0,1,1,0,1,5,5,3,4,1,2,5,4,4,3,2,5,5,1,1,1,2,4,5,1,5,3,,45.20239258,-68.59529877,-1
R_56Bf4EJxIEVS4V7,Default Response Set,Anonymous,,,65.18.24.193,0,9/9/14 13:23,9/9/14 13:45,1,1,1,33,33,F,G,2,,1,1,1,0,2,5,4,3,4,1,2,5,2,4,1,5,4,5,2,1,2,5,1,3,1,1,2,,45.20239258,-68.59529877,-1
R_8tSL8Vqs96VgKsR,Default Response Set,Anonymous,,,65.18.24.167,0,9/9/14 13:23,9/9/14 13:46,1,1,1,34,34,F,G,2,,0,1,1,0,2,5,1,3,2,1,2,1,2,4,1,2,5,5,2,5,1,2,3,,4,5,2,,45.20239258,-68.59529877,-1
R_8974zSYpJvVNQeF,Default Response Set,Anonymous,,,65.18.24.152,0,9/9/14 13:24,9/9/14 13:47,1,1,1,35,35,F,G,2,,0,1,1,0,2,2,5,1,4,5,5,1,4,3,1,2,3,1,4,2,3,2,4,3,5,5,1,,45.20239258,-68.59529877,-1
R_8HvUkV98jCPggGF,Default Response Set,Anonymous,,,65.18.24.73,0,9/9/14 13:24,9/9/14 13:47,1,1,1,36,36,F,G,2,,1,1,1,0,2,5,1,3,4,1,2,1,2,2,4,2,2,5,1,1,1,2,4,5,3,4,2,,45.20239258,-68.59529877,-1
R_0q8WBAphkcjtRlj,Default Response Set,Anonymous,,,65.18.24.254,0,9/9/14 13:38,9/9/14 13:48,1,1,1,37,37,F,G,2,,0,1,1,1,2,1,1,3,4,1,3,5,2,1,3,2,1,3,2,1,3,4,4,5,4,1,2,,45.20239258,-68.59529877,-1
