ï»¿V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Logo,Intro,Name_1_TEXT,Name_2_TEXT,Name_3_TEXT,Name_4_TEXT,Grade,Grade_TEXT,Q1,intro Q2,picture,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q35,Q33,LocationLatitude,LocationLongitude,LocationAccuracy
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,Mainepsplogo,MainePSP: SEPUP Post-Test /   /   /   /   /   /  This test asks questions about the science topics you /  have...,Please provide the following information:-First Name,Please provide the following information:-Last Name,Please provide the following information:-Teacher Name,Please provide the following information:-School,Grade,Grade-TEXT,"1. By examining fossils, scientists think that:Â ",2. Below is a diagram of Earth's interior.,Screen shot 2014 09 03 at 12.26.07 pm,"In the picture above, what is layer 2?",3. Below is a diagram of a soil profile.,"4. If mountains erode over long periods of time, what can /  happen?Â ",5. Carlos has a metamorphic rock in his rock collection. Where /  did the rock most likely form?Â ,6. What is true about evaporation of / water?Â ,7. Which is always true about a day when there are strong /  winds?Â ,8. Minerals are in our water supply because:Â ,9. What is true about all soils?Â ,10. The graphs below show the air temperature readings for five /  different days. On which day was...,11. Scientists study fossils to:Â ,12. Scientists think which of the following has affected Earth /  for billions of years?Â ,13. Which of the following is not part of the water cycle?Â ,14. Air contains which of these gases?Â ,15. Which human activity directly adds the most carbon dioxide to /  the atmosphere?Â ,16. Scientists think that the primary cause of mountain building /  is:Â ,17. The graphs below show the highest air temperature reading /  everyday for one year at five diff...,"18. If there were no weathering and erosion, which type of rock /  would be least common?Â ",19. Which of these is a piece of scientific evidence for plate /  tectonics?Â ,"20. If you were flying inside a puffy looking cloud, you would /  see:Â ","21. Calcutta, India, is half way around the Earth east of /  Chicago. If it is noon in Chicago, in...",22. Imagine that the Moon suddenly disappeared. What would happen /  to the tides in Earthâ€™s oceans...,23. How long does it take for Earth to turn once on its /  axis?Â ,24. How long does it take for the Moon to go around the /  Sun?Â ,"25. If you could look down from space at Earth from far above its /  north pole, the Sun and Moon w...",Gender,Thank you!,LocationLatitude,LocationLongitude,LocationAccuracy
R_3n6QySIGg0Au4tY,Default Response Set,Anonymous,,,169.244.38.65,0,5/20/15 9:22,5/20/15 9:31,1,1,1,1,1,F,G,2,,1,4,4,2,1,5,5,1,2,2,4,4,3,2,4,3,3,2,4,2,1,5,4,5,2,1,,,1,45.72259521,-68.79509735,-1
R_3iDcq0PyKxTZ3CL,Default Response Set,Anonymous,,,169.244.38.65,0,5/20/15 9:24,5/20/15 9:33,1,1,1,2,2,F,G,2,,4,2,2,4,5,4,,4,2,1,2,4,5,5,2,1,4,1,1,5,1,2,1,4,,1,,,1,45.72259521,-68.79509735,-1
R_20UwogM7DGJjrIb,Default Response Set,Anonymous,,,169.244.38.65,0,5/20/15 12:23,5/20/15 12:29,1,1,1,3,3,F,G,2,,4,5,2,4,5,3,4,1,2,5,2,4,5,4,4,2,5,,1,5,4,2,1,4,2,1,,,1,45.72259521,-68.79509735,-1
R_2tlnfwEOZzitA9u,Default Response Set,Anonymous,,,169.244.38.65,0,5/20/15 12:18,5/20/15 12:31,1,1,1,4,4,F,G,2,,4,2,2,5,5,3,2,4,3,1,4,4,3,4,2,5,2,1,1,2,4,5,1,5,3,1,,,1,45.72259521,-68.79509735,-1
R_27JyQrRzPzy1dnS,Default Response Set,Anonymous,,,169.244.38.65,0,5/20/15 12:18,5/20/15 12:31,1,1,1,5,5,F,G,2,,,1,2,5,1,3,1,1,2,5,3,4,3,5,1,3,2,1,2,5,1,2,1,3,4,1,,,1,45.72259521,-68.79509735,-1
R_2dB9Y7FF2hihCKj,Default Response Set,Anonymous,,,169.244.38.65,0,5/20/15 12:19,5/20/15 12:31,1,1,1,6,6,F,G,2,,2,2,1,4,1,3,4,1,3,3,4,5,2,2,3,5,1,1,1,2,4,5,4,5,1,1,,,1,45.72259521,-68.79509735,-1
R_3HCxRpicVCz1lXy,Default Response Set,Anonymous,,,169.244.38.65,0,5/20/15 12:16,5/20/15 12:32,1,1,1,7,7,F,G,2,,4,2,2,5,5,3,2,4,2,1,5,,3,4,4,5,2,1,3,2,4,2,1,1,2,1,,,1,45.72259521,-68.79509735,-1
R_UiLWxbiD1FlFopH,Default Response Set,Anonymous,,,169.244.38.65,0,5/20/15 12:22,5/20/15 12:33,1,1,1,8,8,F,G,2,,4,3,1,5,5,3,2,1,2,1,5,2,4,4,4,5,1,1,1,5,1,2,1,5,1,1,,,1,45.72259521,-68.79509735,-1
R_1DwFpbgSxYh4XTD,Default Response Set,Anonymous,,,169.244.38.65,0,5/20/15 12:17,5/20/15 12:34,1,1,1,9,9,F,G,2,,4,2,2,4,5,3,4,4,2,1,2,4,5,5,2,5,1,1,1,3,5,2,1,5,3,1,,,1,45.72259521,-68.79509735,-1
